Stop Name,Occurrences
Unnamed Bus Stop,78
WBTC/SBSTC Stand,6
Kankurgachi,6
Sector - V,5
Ranichak,5
Phoolbagan,5
Gariahat,5
Ruby,4
Kathgola,4
College Street,4
Chaitanyapur,4
14 No Bus Stop,4
Vidya Bhavan,3
Siemens,3
PNB,3
Monjushree,3
ID Hospital,3
Deshapriya Park,3
College More,3
City Center,3
Chingrighata,3
Brajalalchak,3
Wipro,2
Webel More,2
VIP Bazar,2
Uttar Kanya,2
Trikon Park,2
Triborno,2
Tinbatti,2
Technopolis,2
Taratalla,2
Tank No. 4,2
Talpukur,2
Talma Haat,2
Tagore Park,2
Swasthya Bhawan,2
Survey Park,2
Sulekha,2
Sukanata Setu,2
Stadium Gate No. 1,2
St. Xavier's,2
South City Mall,2
Sitaguri,2
Singha Bari,2
Shining Residency,2
Seventeen,2
Science City,2
Santoshpur Modern Girls School,2
Santoshpur Lake Pally Bus Stop,2
Santoshpur Bot Tala,2
Salt Lake Stadium,2
Safuipara Bus Stop,2
SDF,2
Ruby Hospital,2
Ratna Cabin,2
Rashbehari/Deshapriya Park,2
Raninagar,2
Rajdanga,2
Rajarhat Station,2
Radhanagar,2
Radhamani,2
Radhabari,2
Post Office,2
Podra More,2
Phulbari,2
Patuli,2
Paribesh Bhavan,2
Pantaloons/V.I.P. Market,2
Panchana Gram,2
Paddapukur,2
ODRC,2
Noukaghat,2
Nimtauri,2
Narkeldanga,2
Nalban,2
Nabapally,2
NRS Hospital,2
Mukundapur,2
Mukulbithi,2
Moram,2
Mohananda Crossing BUs Stop,2
Milan Bus Stop,2
Metropolitan,2
Metro Cash & Carry,2
Medica,2
Mahisadal,2
Lake town,2
Lake Market,2
Keoratala Shamshan,2
Kasba Purono Thana,2
Kasba Old Police Station,2
Kasba Bakultala,2
Kapasberia,2
Kalimandir,2
Kalikapur,2
Kalighat,2
Kajipara,2
KPC Hospital,2
KMC Pumping Station,2
Joramandir,2
Jora Bridge (Santoshpur),2
Jalpai More,2
IOC Gate,2
Howrah Pump,2
Hospital Morh,2
Haskhali Pole,2
GD Island,2
First Gate,2
Fern Road,2
Fatapukur,2
FE Block,2
FD Block Central Park,2
FD Block,2
Esplanade,2
Elokeshi,2
Ekdalia,2
ESI Hospital,2
ESI Head Office,2
EM Bypass,2
Dokan Gora,2
Collectory,2
Chunavati,2
Chetla,2
Chandipur,2
CIT More,2
Bosepukur Shitalamandir,2
Boropul,2
Bijan Bhavan,2
Bhabanipur,2
Beleghata Khalpar,2
Beleghata 33 Pally,2
Barsundra,2
Bankim Mukherjee Sarani/Triangular Park,2
Bakultala,2
Alipore Chetla X-ing,2
Ajoynagar,2
Airport mora,2
Airport No. 1 Gate,2
19B Bus Stop,2
13 No. Tank,2
